IDProducto;Producto;Marca;IDEmpresa;Seccion;Categoria;Variedad;FigurasCalidad;HEART OF SPAIN
28425;AMANITA CAESAREA FRESCO;CONSERVAS GABEMAR;1002;VERDURAS, HORTALIZAS Y PRODUCTOS SILVESTRES;SETAS Y HONGOS;SETA;M.G. SETAS DE CASTILLA Y LEON;
28426;CANTHARELLUS CIBARIUS FRESCO;CONSERVAS GABEMAR;1002;VERDURAS, HORTALIZAS Y PRODUCTOS SILVESTRES;SETAS Y HONGOS;SETA;M.G. SETAS DE CASTILLA Y LEON;
28429;TRICHOLOMA PORTEMTOSUM FRESCO;CONSERVAS GABEMAR;1002;VERDURAS, HORTALIZAS Y PRODUCTOS SILVESTRES;SETAS Y HONGOS;SETA;M.G. SETAS DE CASTILLA Y LEON;
47264;MEZCLA DE SETAS SILVESTRES;CONSERVAS GABEMAR;1002;CONSERVAS;CONSERVAS VEGETALES;CONSERVAS DE SETAS;M.G. SETAS DE CASTILLA Y LEON;
47414;VINO TINTO;PARAJE LENCIA;575;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. TORO;
21779;VINO TINTO PRESTIGIO;CYAN;417;BEBIDAS;VINOS;VINO TINTO;"AGRICULTURA ECOLOGICA DE CASTILLA Y LEON; VCPRD D.O. TORO";
18039;QUESO FRESCO UF 0%;MAMA VACA;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO FRESCO;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
18042;REQUESON CON MERMELADA DE FRESA;MAMA VACA;1187;QUESOS Y OTROS LACTEOS;QUESOS;REQUESON;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
23902;QUESO MEZCLA;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
48169;QUESO DE MEZCLA MADURADO AHUMADO;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
48172;QUESO IBERICO;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
48173;QUESO DE OVEJA MADURADO CON ACEITE DE OLIVA VIRGEN EXTRA;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO DE OVEJA;I.G.P. QUESO CASTELLANO;AUTORIZADO
48174;QUESO MEZCLA MADURADO CON VINO TINTO;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
48176;QUESO DE MEZCLA MADURADO PRIMAVERA CON CURCUMA;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
16718;BARRA RUSTICA;EL HORNO DE ANGEL;1189;PANADERIA Y REPOSTERIA;PAN Y ESPECIALIDADES;PAN FLAMA;PLIEGO DE CONDICIONES DE PRODUCTO;
18958;JAMON DE BELLOTA 100% IBERICO;LOS CHANETES;354;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
18961;PALETA DE BELLOTA 100% IBERICA;LOS CHANETES;354;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
18962;PALETA DE BELLOTA IBERICA;LOS CHANETES;354;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
8869;FRITADA DE TOMATE;VEGAESLA DE HORTOESLA;1803;CONSERVAS;CONSERVAS VEGETALES;CONSERVAS DE TOMATE;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
18565;ENSALADA DE PIMIENTO VERDE PICANTE;VEGAESLA DE HORTOESLA;1803;CONSERVAS;CONSERVAS VEGETALES;CONSERVAS DE PIMIENTO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
18566;PIMIENTOS AGRIDULCES;VEGAESLA DE HORTOESLA;1803;CONSERVAS;CONSERVAS VEGETALES;CONSERVAS DE PIMIENTO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
32756;PALETA DE CEBO DE CAMPO 100% IBERICA;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
32759;JAMON DE CEBO DE CAMPO 100% IBERICO;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
32790;PALETA DE BELLOTA 100% IBERICA;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
31725;JAMON DE BELLOTA IBERICO;C CAYO;859;CHARCUTERIA;CURADOS;JAMON IBERICO;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
31727;LOMO DE BELLOTA 100% IBERICO;C CAYO;859;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
19808;CECINA DE VACUNO;CECINAS Y EMBUTIDOS HCR HNOS. CABALLERO ROJO;1768;CHARCUTERIA;CURADOS;CECINA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
28653;SALCHICHON DE EQUINO;CECINAS Y EMBUTIDOS HCR HNOS. CABALLERO ROJO;1768;CHARCUTERIA;EMBUTIDOS;SALCHICHON;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
28654;SALCHICHON DE CERDO;CECINAS Y EMBUTIDOS HCR HNOS. CABALLERO ROJO;1768;CHARCUTERIA;EMBUTIDOS;SALCHICHON;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
8171;TARTA DE QUESO CON MEMBRILLO;SANTA TERESA;3276;PANADERIA Y REPOSTERIA;BOLLERIA Y PASTELERIA;TARTAS Y BIZCOCHOS;PLIEGO DE CONDICIONES DE PRODUCTO;
17987;PASTAS MURALLITAS;SANTA TERESA;3276;PANADERIA Y REPOSTERIA;BOLLERIA Y PASTELERIA;PASTAS;PLIEGO DE CONDICIONES DE PRODUCTO;
17334;JAMON DE BELLOTA IBERICO;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;CURADOS;JAMON IBERICO;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
17336;PALETA DE CEBO IBERICA;EMBUTIDOS ANTONIO MARTIN MARTIN;248;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
17345;PALETA DE BELLOTA IBERICA;EMBUTIDOS ANTONIO MARTIN MARTIN;248;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
17354;JAMON DE CEBO IBERICO;EMBUTIDOS ANTONIO MARTIN MARTIN;248;CHARCUTERIA;CURADOS;JAMON IBERICO;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
19714;PALETA DE CEBO DE CAMPO IBERICA;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
19725;PALETA DE CEBO DE CAMPO IBERICA;EMBUTIDOS ANTONIO MARTIN MARTIN;248;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
11059;AGUA MINERAL NATURAL;SAN JOAQUIN;32460;BEBIDAS;AGUAS;AGUA MINERAL SIN GAS;R.D.1798/2010 DE AGUAS MINERALES NATURAL Y MANANTIAL;
20731;PALETA DE CEBO IBERICA;EL BOTON CHARRO;1821;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
20734;JAMON DE CEBO DE CAMPO IBERICO;EL BOTON CHARRO;1821;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
20735;JAMON DE CEBO DE CAMPO 100% IBERICO;EL BOTON CHARRO;1821;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
15943;JAMON DE CEBO DE CAMPO IBERICO;FERMIN;1228;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
15947;JAMON DE BELLOTA 100% IBERICO;FERMIN;1228;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
15953;PALETA DE CEBO 100% IBERICA;FERMIN;1228;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
6514;MORCILLA DE ARROZ;AGUEDA GONZALEZ;1580;CHARCUTERIA;COCIDOS;MORCILLA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
13786;PIERNA DE LECHAZO ASADA;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE CARNE;PLATO OVINO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
16423;COCHINILLO ASADO EN SU JUGO;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE CARNE;PLATO PORCINO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
41564;CABRITO ASADO EN SU JUGO;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE CARNE;PLATO CAPRINO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
41565;BACALAO CONFITADO;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE PESCADO;BACALAO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
41566;BACALAO AL AJOARRIERO;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE PESCADO;BACALAO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21164;CENTRO DE JAMON DE CERDO BLANCO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;JAMON CURADO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21168;LOMO EMBUCHADO DE CERDO BLANCO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;LOMO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21175;LENGUA IBERICA CURADA ADOBADA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;OTRO CURADO IBERICO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21178;PANCETA IBERICA SALADA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;BACON Y PANCETA;PANCETA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21179;SALCHICHON EXTRA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;SALCHICHON;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21180;CHORIZO EXTRA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;CHORIZO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; M.G. CHORIZO ZAMORANO";
21183;SALCHICHON EXTRA IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;SALCHICHON IBERICO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21185;CABECERO DE LOMO EMBUCHADO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;LOMO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
22089;JAMON DE CEBO 100% IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;JAMON IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22092;JAMON DE BELLOTA 100% IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;JAMON IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22097;PALETA DE CEBO DE CAMPO 100% IBERICA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;PALETA IBERICA;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22103;LOMO DE CEBO 100% IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22105;LOMO DE CEBO DE CAMPO 100% IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
31016;PALETA CURADA 50% RAZA DUROC;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;PALETA CURADA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
28214;LOMO DE BELLOTA 100% IBERICO;DON EUSEBIO DE LA ALBERCA;1225;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
28215;PALETA DE CEBO IBERICA;DON EUSEBIO DE LA ALBERCA;1225;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
28216;PALETA DE CEBO DE CAMPO IBERICA;DON EUSEBIO DE LA ALBERCA;1225;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
28219;JAMON DE BELLOTA IBERICO;DON EUSEBIO DE LA ALBERCA;1225;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
41146;JAMON DE CEBO IBERICO;LA ESENCIA ALBERCANA;1225;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
48343;QUESO DE OVEJA CURADO LECHE CRUDA;LAS CORTAS QUESERIA ARTESANAL;38355;QUESOS Y OTROS LACTEOS;QUESOS;QUESO DE OVEJA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
2961;VINO BLANCO;PEÑAMONTE;585;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. TORO;
2965;VINO TINTO JOVEN;PEÑAMONTE;585;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. TORO;
30991;LOMO DE CEBO IBERICO;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
30992;LOMO DE CEBO DE CAMPO IBERICO;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
30994;LOMO DE BELLOTA 100% IBERICO;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
31003;JAMON DE CEBO 100% IBERICO;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
31004;JAMON DE CEBO IBERICO;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
31006;PALETA DE BELLOTA IBERICA;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
33124;LOMO DE CEBO DE CAMPO 100% IBERICO;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
33125;PALETA DE BELLOTA 100% IBERICA;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
33126;JAMON DE BELLOTA 100% IBERICO;GUILLEN JAMONES Y EMBUTIDOS;2214;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
1125;ALMENDRADOS;PEÑIN;2734;PANADERIA Y REPOSTERIA;BOLLERIA Y PASTELERIA;PASTAS;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
1126;BOLLERIA;PEÑIN;2734;PANADERIA Y REPOSTERIA;BOLLERIA Y PASTELERIA;BRIOCHE Y BOLLOS;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
1128;BUÑUELOS;PEÑIN;2734;PANADERIA Y REPOSTERIA;BOLLERIA Y PASTELERIA;PASTELES;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
1131;HOJALDRES;PEÑIN;2734;PANADERIA Y REPOSTERIA;BOLLERIA Y PASTELERIA;HOJALDRES;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
1134;LENGUAS DE GATO;PEÑIN;2734;ALIMENTACION GENERAL;CHOCOLATES Y CACAOS;SNACKS DE CHOCOLATE;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
1137;TRUFAS;SAN ISIDORO;2734;ALIMENTACION GENERAL;CHOCOLATES Y CACAOS;BOMBONES;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
6144;VINO ROSADO;VINICIO;1038;BEBIDAS;VINOS;VINO ROSADO;VCPRD D.O. BIERZO;
6146;VINO TINTO;VINICIO;1038;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. BIERZO;
15392;VINO ROSADO;GUERRA;1038;BEBIDAS;VINOS;VINO ROSADO;VCPRD D.O. BIERZO;
15395;VINO TINTO CRIANZA;GUERRA;1038;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. BIERZO;
20381;VINO TINTO JOVEN;VINDIUS;1038;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. BIERZO;
20387;VINO BLANCO;VINDIUS;1038;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. BIERZO;
20390;VINO ROSADO;FONTOUSAL;1038;BEBIDAS;VINOS;VINO ROSADO;VCPRD D.O. BIERZO;
20391;VINO TINTO JOVEN;FONTOUSAL;1038;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. BIERZO;
20396;VINO TINTO ROBLE;SESTERCIO;1038;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. BIERZO;
20398;VINO TINTO JOVEN;XESTEIRA;1038;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. BIERZO;
31849;VINO BLANCO GODELLO;GUERRA;1038;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. BIERZO;
31852;VINO BLANCO;BOCOVI;1038;BEBIDAS;VINOS;VINO BLANCO;I.G.P. VINO DE LA TIERRA DE CASTILLA Y LEON;
36789;VINO BLANCO;EL VALIN BY VINOS GUERRA;1038;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. BIERZO;
47483;VINO BLANCO GODELLO;GUERRA DE PURA CEPA;1038;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. BIERZO;
3908;QUESO DE CABRA;SAN VICENTE;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO DE CABRA;PROTOCOLO PRIVADO (IFS);
3910;QUESO MEZCLA TIERNO;SAN VICENTE;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
3911;QUESO MEZCLA SEMICURADO;SAN VICENTE;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
7403;QUESO MEZCLA SEMICURADO;TORIO;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
7414;QUESO MEZCLA CURADO LECHE CRUDA;SANTA NONIA;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
15367;QUESO DE CABRA;CONDE DUQUE;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO DE CABRA;PROTOCOLO PRIVADO (IFS);
15370;QUESO MEZCLA TIERNO;CONDE DUQUE;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
15377;QUESO DE CABRA;EL CORTE INGLES;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO DE CABRA;PROTOCOLO PRIVADO (IFS);
15382;QUESO MEZCLA CURADO;EL CORTE INGLES;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
27340;QUESO MEZCLA TIERNO LIGHT;SPAR;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
27341;QUESO MEZCLA CURADO;SPAR;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
27342;QUESO MEZCLA TIERNO;SPAR;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
27345;QUESO MEZCLA CURADO;ALTEZA;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
27346;QUESO MEZCLA TIERNO;ALTEZA;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
27347;QUESO MEZCLA SEMICURADO;ALTEZA;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
28424;QUESO MEZCLA MADURADO SIN LACTOSA;SPAR;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
30652;QUESO MEZCLA MADURADO SIN LACTOSA;EL CORTE INGLES;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PROTOCOLO PRIVADO (IFS);
45073;QUESO DE OVEJA;DELEITUM;1870;QUESOS Y OTROS LACTEOS;QUESOS;QUESO DE OVEJA;I.G.P. QUESO CASTELLANO;
6657;JUDION;LEGUMBRES CORONADO;1043;ALIMENTACION GENERAL;LEGUMBRES SECAS;ALUBIAS;I.G.P. JUDIAS DE EL BARCO DE AVILA;
6659;JUDIA MORADA REDONDA;LEGUMBRES CORONADO;1043;ALIMENTACION GENERAL;LEGUMBRES SECAS;ALUBIAS;I.G.P. JUDIAS DE EL BARCO DE AVILA;
6660;JUDIA ARROCINA;LEGUMBRES CORONADO;1043;ALIMENTACION GENERAL;LEGUMBRES SECAS;ALUBIAS;I.G.P. JUDIAS DE EL BARCO DE AVILA;
24482;JAMON DE BELLOTA IBERICO;JUAN MANUEL;1968;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
24484;LOMO DE BELLOTA IBERICO;JUAN MANUEL;1968;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
27736;JAMON DE CEBO DE CAMPO IBERICO;JUAN MANUEL;1968;CHARCUTERIA;CURADOS;JAMON IBERICO;D.O.P. JAMON DE GUIJUELO;
28606;PALETA DE CEBO 100% IBERICA;JUAN MANUEL;1968;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
5533;CECINA DE VACUNO;EL CASTRO;2737;CHARCUTERIA;CURADOS;CECINA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
43264;PALETA DE BELLOTA IBERICA LONCHEADO;IBERICOS MARTINSANZ SM;39935;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
43266;JAMON DE CEBO DE CAMPO IBERICO LONCHEADO;IBERICOS MARTINSANZ SM;39935;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
43267;PALETA DE CEBO DE CAMPO IBERICA LONCHEADO;IBERICOS MARTINSANZ SM;39935;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
43272;LOMO DE CEBO DE CAMPO IBERICO LONCHEADO;IBERICOS MARTINSANZ SM;39935;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
1492;LOMO;LOS REJOS EMBUTIDOS ARTESANOS LEONESES;2009;CHARCUTERIA;EMBUTIDOS;LOMO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
31947;CHORIZO CON VENADO;LOS REJOS EMBUTIDOS ARTESANOS LEONESES;2009;CHARCUTERIA;EMBUTIDOS;CHORIZO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
31963;SALCHICHON CON VENADO;LOS REJOS EMBUTIDOS ARTESANOS LEONESES;2009;CHARCUTERIA;EMBUTIDOS;SALCHICHON;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
31964;CHORIZO CON JABALI;LOS REJOS EMBUTIDOS ARTESANOS LEONESES;2009;CHARCUTERIA;EMBUTIDOS;CHORIZO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
31967;CHORIZO CON VACUNO;LOS REJOS EMBUTIDOS ARTESANOS LEONESES;2009;CHARCUTERIA;EMBUTIDOS;CHORIZO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
7658;VINO TINTO JOVEN;SABOR REAL;467;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. TORO;
7875;VINO TINTO CRIANZA;SABOR REAL;467;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. TORO;
7615;QUESO DE OVEJA CURADO GRASO;QUESO PURO DE OVEJA VALDEPERO;1032;QUESOS Y OTROS LACTEOS;QUESOS;QUESO DE OVEJA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
18069;JAMON DE CEBO IBERICO;VALLE ALAGON;32581;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
23103;PALETA DE CEBO 100% IBERICA;VALLE ALAGON;32581;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
23107;JAMON DE BELLOTA 100% IBERICO;VALLE ALAGON;32581;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
23109;LOMO DE CEBO DE CAMPO 100% IBERICO;VALLE ALAGON;32581;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
23110;LOMO DE CEBO DE CAMPO IBERICO;VALLE ALAGON;32581;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
23112;JAMON DE CEBO DE CAMPO 100% IBERICO;VALLE ALAGON;32581;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
23113;JAMON DE CEBO DE CAMPO IBERICO;VALLE ALAGON;32581;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
22444;PALETA DE CEBO IBERICA;FUENTERRICO;32580;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
22445;LOMO DE CEBO IBERICO;FUENTERRICO;32580;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
