IDProducto;Producto;Marca;IDEmpresa;Seccion;Categoria;Variedad;FigurasCalidad;HEART OF SPAIN
987;VINO BLANCO;VACCEOS;107;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
991;VINO BLANCO;CANDIUM;107;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
996;VINO BLANCO;PALACIO VIVERO;107;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
1006;VINO BLANCO;BASCARLON;107;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
1012;VINO TINTO;CABALLERO DE CASTILLA;107;BEBIDAS;VINOS;VINO TINTO;I.G.P. VINO DE LA TIERRA DE CASTILLA Y LEON;
8404;VINO BLANCO;APOTEOSIS;107;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
16813;VINO BLANCO;DOLCE PIACERE;107;BEBIDAS;VINOS;VINO BLANCO;I.G.P. VINO DE LA TIERRA DE CASTILLA Y LEON;
16822;VINO BLANCO;CAMINO DEL SUR;107;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
16825;VINO TINTO;PECATIS TUIS;107;BEBIDAS;VINOS;VINO TINTO;I.G.P. VINO DE LA TIERRA DE CASTILLA Y LEON;
16835;VINO BLANCO;LAGARTIJO;107;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
23580;VINO BLANCO;CIRCENSE;107;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
35104;VINO ROSADO;CUATRO RAYAS ORGANIC;107;BEBIDAS;VINOS;VINO ROSADO;"AGRICULTURA ECOLOGICA DE CASTILLA Y LEON; I.G.P. VINO DE LA TIERRA DE CASTILLA Y LEON";
48185;VINO ROSADO;CUATRO RAYAS BLUSH ROSE;107;BEBIDAS;VINOS;VINO ROSADO;I.G.P. VINO DE LA TIERRA DE CASTILLA Y LEON;
27671;VINO BLANCO SAUVIGNON BLANC;VIÑA CIMBRON;504;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
40024;VINO BLANCO VERDEJO;PIEDRAS DE CIMBRON;504;BEBIDAS;VINOS;VINO BLANCO;VCPRD D.O. RUEDA;
39203;VINO ROSADO;PARRADEZ;379;BEBIDAS;VINOS;VINO ROSADO;VCPRD D.O. CIGALES;
